condition,tick,source,cell_type,transmitter_sign,target,forecast,source_spike,source_sensory_input,source_observed_current,arrival_count,signed_recurrent_current,retained_eligibility,weight_update_proposal
initial,254,26550,L1,-1.0,0.0,-0.0005147918709553778,False,0.0,-7.588850975036621,0,-0.0003376379027031362,-0.02649613469839096,0.0
initial,255,20655,L2,1.0,0.0,-0.0005147918709553778,False,0.0,-7.203714847564697,0,0.00015438772970810533,0.026496997103095055,0.0
initial,255,26550,L1,-1.0,0.0,-0.0005147918709553778,False,0.0,-7.203714847564697,0,-0.00027414047508500516,-0.02649613469839096,0.0
initial,256,20655,L2,1.0,1.0,-0.0005147918709553778,False,30.0,23.161876678466797,0,0.00012535300629679114,0.026496997103095055,0.00026510635507293046
initial,256,26550,L1,-1.0,1.0,-0.0005147918709553778,False,30.0,23.161876678466797,0,-0.00022258461103774607,-0.02649613469839096,-0.00026509774033911526
initial,257,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,21.986406326293945,0,0.00010177865624427795,0.005004635080695152,0.0
initial,257,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,21.986406326293945,0,-0.0001807245280360803,-0.005004472099244595,0.0
initial,258,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,20.870590209960938,0,8.2637787272688e-05,0.005004635080695152,0.0
initial,258,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,20.870590209960938,0,-0.00014673681289423257,-0.005004472099244595,0.0
initial,259,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,19.811403274536133,0,6.709661829518154e-05,0.005004635080695152,0.0
initial,259,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,19.811403274536133,0,-0.00011914094648091123,-0.005004472099244595,0.0
initial,260,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,18.80596923828125,0,5.4478179663419724e-05,0.005004635080695152,0.0
initial,260,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,18.80596923828125,0,-9.67348605627194e-05,-0.005004472099244595,0.0
initial,261,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,17.851560592651367,0,4.4232812797417864e-05,0.005004635080695152,0.0
initial,261,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,17.851560592651367,0,-7.854254363337532e-05,-0.005004472099244595,0.0
initial,262,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,16.945589065551758,0,3.591422864701599e-05,0.005004635080695152,0.0
initial,262,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,16.945589065551758,0,-6.377154204528779e-05,-0.005004472099244595,0.0
initial,263,20655,L2,1.0,0.0,-9.723159746499732e-05,True,0.0,16.085596084594727,0,2.9160066333133727e-05,0.005004635080695152,0.0
initial,263,26550,L1,-1.0,0.0,-9.723159746499732e-05,True,0.0,16.085596084594727,0,-5.1778431952698156e-05,-0.005004472099244595,0.0
initial,264,20655,L2,1.0,0.0,-9.723159746499732e-05,False,0.0,15.269248008728027,1,0.014695900492370129,0.005004635080695152,4.866086644739198e-09
initial,264,26550,L1,-1.0,0.0,-9.723159746499732e-05,False,0.0,15.269248008728027,1,-0.054893091320991516,-0.005004472099244595,-4.865928104891282e-09
initial,280,20655,L2,1.0,-1.0,-0.02909843996167183,False,-30.0,-23.364013671875,0,0.007184922695159912,0.7243154644966125,-0.007032390218228102
